Date,Open,High,Low,Adj Close,Close,Volume
2019-10-07,190.7,190.75,185.25,189.65,185.95,2614126
2019-10-04,197.5,198.2,188.85,196.35,189.65,2548653
2019-10-03,198.4,201.25,193.75,199.85,196.35,2884359
2019-10-01,204.4,205.65,193.7,203.95,199.85,3940452
2019-09-30,207.0,207.0,202.5,207.05,203.95,2199055
2019-09-27,210.1,210.6,205.85,210.5,207.05,1996223
2019-09-26,210.35,213.8,207.6,210.1,210.5,3991305
2019-09-25,214.95,215.7,207.3,215.75,210.1,3960724
2019-09-24,219.45,219.45,212.7,220.55,215.75,2701974
2019-09-23,216.2,225.0,216.2,215.2,220.55,5258243
2019-09-20,192.2,217.35,191.25,191.8,215.2,8240226
2019-09-19,195.5,196.5,190.25,195.8,191.8,2032982
2019-09-18,195.0,196.7,194.1,194.35,195.8,2266964
2019-09-17,200.85,201.2,193.5,201.45,194.35,2829653
2019-09-16,199.5,203.9,197.35,201.0,201.45,2090311
2019-09-13,196.0,202.15,193.9,195.75,201.0,2245097
2019-09-12,197.5,200.2,195.1,197.35,195.75,2256605
2019-09-11,195.75,198.35,195.75,195.5,197.35,1746891
2019-09-09,195.0,197.8,193.65,194.7,195.5,1534947
2019-09-06,193.6,196.7,193.3,193.2,194.7,1565369
2019-09-05,192.55,193.8,190.4,190.9,193.2,2928347
2019-09-04,193.0,193.0,188.45,193.35,190.9,5847593
2019-09-03,200.0,200.65,192.3,202.35,193.35,5785632
2019-08-30,201.0,202.95,199.15,200.05,202.35,3324682
2019-08-29,203.55,205.15,199.4,205.0,200.05,3138802
2019-08-28,205.0,207.5,202.75,205.1,205.0,1674581
2019-08-27,203.5,207.7,202.85,202.65,205.1,2434000
2019-08-26,202.4,203.35,194.6,197.3,202.65,3332737
2019-08-23,196.6,199.7,196.05,197.55,197.3,5629349
2019-08-22,200.8,200.9,196.5,201.1,197.55,2970844
2019-08-21,206.0,206.75,200.5,205.85,201.1,2235406
2019-08-20,212.1,212.5,205.15,212.0,205.85,1823430
2019-08-19,214.4,216.6,211.3,213.9,212.0,1881382
2019-08-16,213.9,214.95,209.65,214.0,213.9,2152191
2019-08-14,208.45,215.2,208.45,208.4,214.0,3676384
2019-08-13,212.95,213.75,207.2,212.95,208.4,5125593
2019-08-09,208.0,214.9,208.0,206.3,212.95,5559737
2019-08-08,204.9,211.45,203.85,204.9,206.3,5105516
2019-08-07,202.3,206.25,201.45,201.85,204.9,6120163
2019-08-06,195.3,203.3,195.3,197.25,201.85,4770543
2019-08-05,197.6,199.5,194.85,199.5,197.25,2295191
2019-08-02,194.7,202.15,194.25,196.8,199.5,3109814
2019-08-01,201.7,201.95,194.1,201.9,196.8,4009344
2019-07-31,201.6,202.95,197.8,202.1,201.9,4384931
2019-07-30,205.9,208.0,201.1,205.15,202.1,2875238
2019-07-29,213.5,213.9,204.1,213.45,205.15,3642296
2019-07-26,215.3,215.6,209.1,214.05,213.45,4479103
2019-07-25,216.1,220.0,211.0,215.7,214.05,4148175
2019-07-24,217.5,218.95,213.45,217.65,215.7,1690968
2019-07-23,216.2,219.15,215.15,215.8,217.65,3846881
2019-07-22,213.5,216.7,210.55,214.0,215.8,2095341
2019-07-19,222.0,223.8,212.05,216.95,214.0,7523729
2019-07-18,219.0,221.2,215.1,219.25,216.95,3614814
2019-07-17,220.0,221.7,216.8,219.9,219.25,2325693
2019-07-16,219.75,220.75,216.55,219.6,219.9,3230318
2019-07-15,215.0,219.9,211.2,214.2,219.6,2672310
2019-07-12,213.3,216.25,212.5,211.7,214.2,2316539
2019-07-11,209.65,212.8,209.55,208.85,211.7,874940
2019-07-10,211.8,211.95,207.9,211.1,208.85,1424627
2019-07-09,205.75,211.9,203.75,205.4,211.1,2289398
2019-07-08,209.85,209.85,203.8,210.2,205.4,2756090
2019-07-05,217.3,218.95,209.4,216.1,210.2,2278543
2019-07-04,215.4,217.5,214.5,214.95,216.1,2031484
2019-07-03,215.0,215.75,213.1,214.95,214.95,1379872
2019-07-02,213.8,215.0,213.35,212.95,214.95,1735201
2019-07-01,214.45,216.0,211.5,212.85,212.95,2294542
2019-06-27,218.5,219.9,216.6,219.35,218.45,2614407
